Type,,,,,,,,,,,,,,,,,,,,,,,,,
Dye,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Polyamide,I,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,Polyamide 2,,,,,,
Polyamide,J,,,,,,,,,,,,,,,,,,,,,,,,
Polyamide,K,,,,,,,,,,,,,,,,,,,,,,,,
Polyamide,L,,,,,,,,,,,,,,,,,,,,,,,,
Polyamide,M,,,,,,,,,,,,,,,,,,,,,,,,
Polyamide,N,,,,,,,,,,,,,,,,,,,,,,,,
Polyamide,O,,,,,,,,,,,,,,,,,,,,,,,,
Polyamide,P,,,,,,,,,,,,,,,,,,,,,,,,
DNA_conc,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DNA_conc,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
DNA_conc,B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
DNA_conc,C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
DNA_conc,D,1,1,1,1,1,1,1,1,1,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",,,,,,
DNA_conc,E,1,1,1,1,1,1,1,1,1,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",,,,,,
DNA_conc,F,1,1,1,1,1,1,1,1,1,"0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25","0,25",,,,,,
DNA_conc,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
DNA_conc,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
DNA_conc,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
DNA_conc,J,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,
DNA_conc,K,,,,,,,,,,,,,,,,,,,,,,,,
DNA_conc,L,,,,,,,,,,,,,,,,,,,,,,,,
DNA_conc,M,,,,,,,,,,,,,,,,,,,,,,,,
DNA_conc,N,,,,,,,,,,,,,,,,,,,,,,,,
DNA_conc,O,,,,,,,,,,,,,,,,,,,,,,,,
DNA_conc,P,,,,,,,,,,,,,,,,,,,,,,,,
